经超	4684
沈腾	4676
江一燕	4667
乔振宇	4660
凤凰传奇	4650
馨子	4641
张敏	4631
马思纯	4620
金泫雅	4619
金来沅	4604
南笙	4592
黄景瑜	4588
张睿	4554
欧弟	4545
吴映洁	4543
魏晨	4516
田馥甄	4505
金宇彬	4505
崔胜贤	4490
邱淑贞	4481
宋祖儿	4470
刘烨	4456
王珂	4451
张嘉译	4417
陈小春	4414
张根硕	4410
韩佳人	4396
廖景萱	4384
倪妮	4374
邓家佳	4354
杨玏	4351
郭富城	4349
翁虹	4342
万茜	4338
杨宗纬	4335
王杰	4333
陈奕迅	4325
金泰熙	4292
王晓晨	4286
梁朝伟	4285
蒋梦婕	4282
刘美含	4261
翁美玲	4238
黎姿	4221
景甜	4205
吴莫愁	4198
黄宗泽	4191
郭京飞	4190
许晴	4187
杰森·斯坦森	4181
詹妮弗·劳伦斯	4145
陆毅	4134
赵嘉敏	4113
张汉盛	4108
陈都灵	4077
潘玮柏	4075
李玹雨	4065
李小冉	4062
金赛纶	4061
盛一伦	4048
苏志燮	4045
钟丽缇	4041
庄心妍	4023
朱亚文	4018
文咏珊	3983
李孝利	3970
王耀庆	3950
冯绍峰	3921
倪萍	3893
艾薇儿	3888
张曼玉	3887
李荣浩	3887
撒贝宁	3879
吴彦祖	3869
曹颖	3864
牛莉	3847
周奇奇	3843
陈坤	3839
艾米莉亚·克拉克	3826
姚贝娜	3818
梁家辉	3817
金智媛	3810
朱丹	3802
于小彤	3792
陈百强	3790
任贤齐	3789
刘宪华	3782
彭丽媛	3776
张含韵	3755
张歆艺	3750
金钟国	3739
周迅	3725
应采儿	3722
郭俊辰	3706
许魏洲	3699
张嘉倪	3692
杨子姗	3690
贾斯汀·比伯	3684
甘婷婷	3683
利智	3662
郑伊健	3654
崔雪莉	3652
申敏儿	3636
张梓琳	3635
安宰贤	3627
杨丞琳	3601
张靓颖	3593
胡彦斌	3588
胡彦斌	3588
白雪	3583
费玉清	3576
纳瓦·君拉纳拉	3572
左小青	3560
白若溪	3559
萧亚轩	3559
韩雪	3556
张佳宁	3553
汪涵	3551
温碧霞	3529
梅艳芳	3503
赵文琪	3502
王力宏	3498
李冰冰	3489
郑源	3488
王琳	3485
王智	3482
包贝尔	3475
八月长安	3457
林峰	3456
胡杏儿	3453
佘诗曼	3451
孙骁骁	3449
杨志刚	3439
韩宝仪	3434
舒淇	3429
陈意涵	3428
周笔畅	3401
马苏	3395
朱镇模	3389
姚晨	3386
韩红	3386
吴尊	3382
庾澄庆	3371
关之琳	3369
李胜贤	3364
白冰	3343
汤灿	3333
容中尔甲	3297
焦恩俊	3293
封迪	3279
王心凌	3272
刘维	3269
张信哲	3269
郑容和	3249
李光洙	3244
无印良品	3240
邱泽	3220
叶玉卿	3197
祖海	3197
刘敏涛	3195
金圣柱	3188
张卫健	3186
张子健	3186
李幼斌	3184
赵又廷	3184
朱一龙	3159
张慧雯	3143
张铎	3130
辰亦儒	3120
刘翔	3117
张娜拉	3109
于莎莎	3108
姜潮	3107
唐朝乐队	3088
贝克汉姆	3075
戴向宇	3052
葛优	3052
李侑菲	3047
蔡卓妍	3047
